,importance
overall_sentiment_score,0.15640627899147144
semantic_coherence_score,0.13913603919437056
fear_word_frequency,0.07995268708407811
self_reference_density,0.07579912596740761
topic_3,0.07019765274778535
anger_word_frequency,0.06468243150790316
uncertainty_word_frequency,0.05503669567193828
future_focus_ratio,0.054692804717113776
filler_word_frequency,0.050165014440016455
sadness_word_frequency,0.04607143847218219
rumination_phrase_frequency,0.04559669393334346
positive_emotion_ratio,0.03629875931524577
total_word_count,0.03255484603034221
negative_emotion_ratio,0.023739144499773452
topic_shift_frequency,0.011578970102785842
topic_shift_frequency,0.010679758057290347
language_model_perplexity,0.009063588330222003
unique_word_count,0.008988942651385258
avg_sentence_length,0.008590034047006454
topic_0,0.00403793599254236
topic_4,0.003526691719998927
topic_1,0.0035158890202047874
topic_2,0.0034920909709111807
present_focus_ratio,0.0009493531943579381
past_focus_ratio,0.0007754317897596383
ttr,0.000760306220601695
adjective_ratio,0.0006525580097340744
adverb_ratio,0.0006258940567353063
noun_ratio,0.0006181148156727918
repetition_rate,0.00061649798353115
verb_ratio,0.0006157825605459664
parse_tree_depth,0.0005825479037425822
